region_grid,province,Zone,node,Resource,technology,cluster,R_ID,COAL,GAS,NUCLEAR,HYDRO,ONWIND,OFFWIND,SOLAR,PUMPED,BATTERY,OTHER,Commit,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,status,start_year,retired_year
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hongjun Aluminum power station Phase A Unit 3,conventional_steam_coal,1,G100000103938,1,0,,,,,,,,0,1,100,1,100,100,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2004,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hongjun Aluminum power station Phase A Unit 4,conventional_steam_coal,1,G100000103939,1,0,,,,,,,,0,1,100,1,100,100,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hongjun Aluminum power station Phase A Unit 5,conventional_steam_coal,1,G100000103940,1,0,,,,,,,,0,1,150,1,150,150,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2006,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hongjun Aluminum power station Phase A Unit 6,conventional_steam_coal,1,G100000103941,1,0,,,,,,,,0,1,150,1,150,150,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2007,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hongjun Aluminum power station Phase B Unit 7,conventional_steam_coal,1,G100000103942,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2012,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hongjun Aluminum power station Phase B Unit 8,conventional_steam_coal,1,G100000103943,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2012,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hongjun Aluminum power station Phase C Unit 10,conventional_steam_coal,1,G100000103934,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2015,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hongjun Aluminum power station Phase C Unit 9,conventional_steam_coal,1,G100000103944,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2015,
NorthwestChina,Xinjiang,XJ,Xinjiang,Hongyanchi-1 power station Expansion Phase I Unit 10,conventional_steam_coal,1,G100000103950,1,0,,,,,,,,0,1,330,1,330,330,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2011,
NorthwestChina,Xinjiang,XJ,Xinjiang,Hongyanchi-1 power station Expansion Phase I Unit 11,conventional_steam_coal,1,G100000103951,1,0,,,,,,,,0,1,330,1,330,330,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2010,
NorthwestChina,Xinjiang,XJ,Xinjiang,Hongyanchi-2 power station Phase I Unit 1,conventional_steam_coal,1,G100000103959,1,0,,,,,,,,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2001,
NorthwestChina,Xinjiang,XJ,Xinjiang,Hongyanchi-2 power station Phase I Unit 2,conventional_steam_coal,1,G100000103960,1,0,,,,,,,,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2001,
NorthwestChina,Xinjiang,XJ,Xinjiang,Hongyanchi-2 power station Phase I Unit 3,conventional_steam_coal,1,G100000103961,1,0,,,,,,,,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2003,
NorthwestChina,Xinjiang,XJ,Xinjiang,Hongyanchi-2 power station Phase I Unit 4,conventional_steam_coal,1,G100000103962,1,0,,,,,,,,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2003,
NortheastChina,Liaoning,LN,Liaoning,Hongyang cogen power station Unit 1,conventional_steam_coal,1,G100000103968,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2010,
NortheastChina,Liaoning,LN,Liaoning,Hongyang cogen power station Unit 2,conventional_steam_coal,1,G100000103969,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2010,
EastChina,Jiangsu,JS,Jiangsu,Hongyang Lianyungang power station Unit 1,conventional_steam_coal,1,G100000103965,1,0,,,,,,,,0,1,40,1,40,40,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2016,
EastChina,Jiangsu,JS,Jiangsu,Hongyang Lianyungang power station Unit 2,conventional_steam_coal,1,G100000103966,1,0,,,,,,,,0,1,40,1,40,40,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2017,
EastChina,Jiangsu,JS,Jiangsu,Hongyang Lianyungang power station Unit 3,conventional_steam_coal,1,G100000103967,1,0,,,,,,,,0,1,40,1,40,40,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2018,
EastChina,Jiangsu,JS,Jiangsu,Hongyang Lianyungang power station Unit 4,conventional_steam_coal,1,G100000113846,1,0,,,,,,,,0,1,35,1,35,35,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2022,
EastChina,Jiangsu,JS,Jiangsu,Hongyang Lianyungang power station Unit 5,conventional_steam_coal,1,G100000113847,1,0,,,,,,,,0,1,35,1,35,35,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2023,
